Player,Country,Role,Span,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
Mitchell Starc,Australia,Bowler,2023-2023,10,10,522,2,528,16,3/34,33.00,6.06,32.6,-,-,6,-
Marcus Stoinis,Australia,Batting Allrounder,2023-2023,6,6,114,-,143,4,2/40,35.75,7.52,28.5,-,-,2,-
Ben Stokes,England,Allrounder,2023-2023,6,-,0,-,-,-,-,-,-,-,-,-,6,-
Tanzid Hasan,Bangladesh,Opening Batter,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,3,-
Tanzim Hasan Sakib,Bangladesh,Bowler,2023-2023,1,1,60,-,80,3,3/80,26.66,8.00,20.0,-,-,-,-
Taskin Ahmed,Bangladesh,Bowler,2023-2023,7,7,330,3,305,5,2/43,61.00,5.54,66.0,-,-,-,-
Shardul Thakur,India,Bowler,2023-2023,3,3,102,-,102,2,1/31,51.00,6.00,51.0,-,-,1,-
Maheesh Theekshana,Sri Lanka,Bowler,2023-2023,8,8,428,1,382,6,2/44,63.66,5.35,71.3,-,-,2,-
Reece Topley,England,Bowler,2023-2023,3,3,166,2,183,8,4/43,22.87,6.61,20.7,-,-,-,-
Towhid Hridoy,Bangladesh,Top order Batter,2023-2023,7,-,0,-,-,-,-,-,-,-,-,-,4,-
Usama Mir,Pakistan,Bowler,2023-2023,4,4,210,-,248,4,2/45,62.00,7.08,52.5,-,-,5,-
Logan van Beek,Netherlands,Bowler,2023-2023,8,8,425,1,476,12,4/74,39.66,6.72,35.4,-,-,2,-
Rassie van der Dussen,South Africa,Top order Batter,2023-2023,10,-,0,-,-,-,-,-,-,-,-,-,4,-
Roelof van der Merwe,Netherlands,Bowling Allrounder,2023-2023,8,8,336,-,311,6,2/34,51.83,5.55,56.0,-,-,2,-
Paul van Meekeren,Netherlands,Bowler,2023-2023,9,9,446,1,447,12,4/23,37.25,6.01,37.1,-,-,2,-
Vikramjit Singh,Netherlands,Opening Batter,2023-2023,6,3,42,-,52,-,-,-,7.42,-,-,-,1,-
David Warner,Australia,Opening Batter,2023-2023,11,-,0,-,-,-,-,-,-,-,-,-,8,-
Dunith Wellalage,Sri Lanka,Bowler,2023-2023,3,3,176,-,196,2,1/53,98.00,6.68,88.0,-,-,1,-
David Willey,England,Bowling Allrounder,2023-2023,6,6,306,6,259,11,3/45,23.54,5.07,27.8,-,-,1,-
Lizaad Williams,South Africa,Bowler,2023-2023,1,1,52,1,56,2,2/56,28.00,6.46,26.0,-,-,-,-
Kane Williamson,New Zealand,Top order Batter,2023-2023,4,-,0,-,-,-,-,-,-,-,-,-,2,-
Chris Woakes,England,Allrounder,2023-2023,8,8,330,1,298,10,4/54,29.80,5.41,33.0,-,-,3,-
Mark Wood,England,Bowler,2023-2023,7,7,324,1,349,6,2/50,58.16,6.46,54.0,-,-,1,-
Suryakumar Yadav,India,Batter,2023-2023,7,1,12,-,17,-,-,-,8.50,-,-,-,1,-
Will Young,New Zealand,Top order Batter,2023-2023,6,-,0,-,-,-,-,-,-,-,-,-,2,-
Adam Zampa,Australia,Bowler,2023-2023,11,11,576,1,515,23,4/8,22.39,5.36,25.0,-,-,2,-
